package,old,new,delta
textrecipes,NA,0.0.0.9000,*
assertthat,NA,0.2.0,*
BH,NA,1.66.0-1,*
bindr,NA,0.1.1,*
bindrcpp,NA,0.2.2,*
cli,NA,1.0.1,*
crayon,NA,1.3.4,*
data.table,NA,1.11.8,*
digest,NA,0.6.18,*
dplyr,NA,0.7.8,*
fansi,NA,0.4.0,*
foreach,NA,1.4.4,*
formatR,NA,1.5,*
futile.logger,NA,1.4.3,*
futile.options,NA,1.0.1,*
generics,NA,0.0.1,*
glue,NA,1.3.0,*
gower,NA,0.1.2,*
ipred,NA,0.9-8,*
irlba,NA,2.3.2,*
ISOcodes,NA,2018.06.29,*
iterators,NA,1.0.10,*
lambda.r,NA,1.2.3,*
lava,NA,1.6.4,*
lubridate,NA,1.7.4,*
magrittr,NA,1.5,*
mlapi,NA,0.1.0,*
numDeriv,NA,2016.8-1,*
pillar,NA,1.3.0,*
pkgconfig,NA,2.0.2,*
plogr,NA,0.2.0,*
prodlim,NA,2018.04.18,*
purrr,NA,0.2.5,*
R6,NA,2.3.0,*
Rcpp,NA,1.0.0,*
RcppParallel,NA,4.4.1,*
RcppRoll,NA,0.3.0,*
recipes,NA,0.1.4,*
rlang,NA,0.3.0.1,*
SnowballC,NA,0.5.1,*
sparsepp,NA,1.22,*
SQUAREM,NA,2017.10-1,*
stopwords,NA,0.9.0,*
stringi,NA,1.2.4,*
stringr,NA,1.3.1,*
text2vec,NA,0.5.1,*
tibble,NA,1.4.2,*
tidyr,NA,0.8.2,*
tidyselect,NA,0.2.5,*
timeDate,NA,3043.102,*
tokenizers,NA,0.2.1,*
utf8,NA,1.1.4,*
withr,NA,2.1.2,*
